Tanggal,Harga_Aktual,Prediksi_LSTM
2024-11-12,9325.560546875,9431.734
2024-11-13,9325.560546875,9385.722
2024-11-14,9279.6240234375,9360.263
2024-11-15,9348.53125,9341.348
2024-11-18,9187.74609375,9341.896
2024-11-19,9118.8369140625,9322.868
2024-11-20,9256.6533203125,9285.603
2024-11-21,9095.0673828125,9271.162
2024-11-22,9095.0673828125,9240.924
2024-11-25,9395.158203125,9208.637
2024-11-26,9233.5703125,9235.6045
2024-11-28,9233.5703125,9257.041
2024-11-29,9233.5703125,9272.469
2024-12-02,9002.73046875,9282.249
2024-12-03,9418.2412109375,9245.545
2024-12-04,9418.2412109375,9268.238
2024-12-05,9464.41015625,9315.096
2024-12-06,9302.822265625,9373.933
2024-12-09,9556.744140625,9398.781
2024-12-10,9556.744140625,9448.933
2024-12-11,9625.99609375,9501.842
2024-12-12,9395.158203125,9559.137
2024-12-13,9279.73828125,9566.165
2024-12-16,9325.90625,9526.57
2024-12-17,9141.234375,9479.19
2024-12-18,9048.8984375,9402.334
2024-12-19,8933.4794921875,9307.89
2024-12-20,8910.3955078125,9200.536
2024-12-23,9025.8154296875,9101.787
2024-12-24,9002.73046875,9045.909
2024-12-27,9048.8984375,9017.088
2024-12-30,8933.4794921875,9015.756
2025-01-02,9141.234375,9007.769
2025-01-03,9095.0673828125,9036.49
2025-01-06,8933.4794921875,9069.804
2025-01-07,8794.9755859375,9070.52
2025-01-08,8933.4794921875,9030.361
2025-01-09,9095.0673828125,9002.487
2025-01-10,8979.646484375,9014.531
2025-01-13,8933.4794921875,9022.713
2025-01-14,8794.9755859375,9019.4
2025-01-15,9048.8984375,8985.89
2025-01-16,9002.73046875,8989.751
2025-01-17,9141.234375,9002.317
2025-01-20,8887.3115234375,9042.256
2025-01-21,8841.1435546875,9042.134
2025-01-22,8864.2275390625,9014.436
2025-01-23,8864.2275390625,8982.152
2025-01-24,8633.3876953125,8953.06
2025-01-30,8448.716796875,8888.604
2025-01-31,8725.724609375,8784.919
2025-02-03,8633.3876953125,8730.724
2025-02-04,8471.7998046875,8693.292
2025-02-05,8425.6328125,8641.799
2025-02-06,8264.044921875,8584.686
2025-02-07,8633.3876953125,8505.874
2025-02-10,8448.716796875,8498.022
2025-02-11,8379.4658203125,8492.624
2025-02-12,8448.716796875,8477.503
2025-02-13,8310.2138671875,8473.312
2025-02-14,8287.12890625,8450.096
2025-02-17,8610.3037109375,8417.739
2025-02-18,8587.2197265625,8445.565
2025-02-19,8264.044921875,8493.4
2025-02-20,8310.2138671875,8483.86
2025-02-21,8310.2138671875,8456.721
2025-02-24,8240.9619140625,8425.401
2025-02-25,8148.6259765625,8384.698
2025-02-26,8102.45751953125,8329.675
2025-02-27,7871.6181640625,8268.914
2025-02-28,7779.283203125,8174.0557
2025-03-03,8125.5419921875,8062.6294
2025-03-04,8171.71044921875,8025.8926
2025-03-05,8310.2138671875,8040.756
2025-03-06,8287.12890625,8104.1665
2025-03-07,8240.9619140625,8176.3677
2025-03-10,8240.9619140625,8232.138
2025-03-11,8240.9619140625,8270.207
2025-03-12,8425.6328125,8292.74
2025-03-13,8287.12890625,8337.079
2025-03-14,8079.3740234375,8358.375
2025-03-17,7940.8701171875,8326.613
2025-03-18,7663.86279296875,8249.039
2025-03-19,7686.94677734375,8111.9224
2025-03-20,7733.115234375,7973.676
2025-03-21,7518.966796875,7867.3364
2025-03-24,7566.5556640625,7756.6104
2025-03-25,7661.732421875,7672.5474
2025-03-26,8113.82177734375,7634.364
2025-03-27,8090.02734375,7708.83
2025-04-08,7399.99560546875,7821.5464
2025-04-09,7542.76123046875,7807.9243
2025-04-10,7828.29150390625,7761.9165
2025-04-11,7875.8798828125,7759.8438
2025-04-14,7994.85107421875,7787.942
2025-04-15,8161.41064453125,7847.5405
2025-04-16,8066.2333984375,7942.377
2025-04-17,8090.02734375,8020.027
2025-04-21,7899.673828125,8079.8267
2025-04-22,8090.02734375,8085.134
2025-04-23,8304.17578125,8097.2085
2025-04-24,8066.2333984375,8148.729
2025-04-25,8185.20458984375,8166.307
2025-04-28,8351.763671875,8185.862
2025-04-29,8304.17578125,8232.838
2025-04-30,8399.3525390625,8275.784
2025-05-02,8542.1171875,8326.46
2025-05-05,8542.1171875,8397.737
2025-05-06,8589.7060546875,8466.132
2025-05-07,8637.294921875,8529.555
2025-05-08,8542.1171875,8587.711
2025-05-09,8565.912109375,8615.278
2025-05-14,8827.6484375,8627.147
2025-05-15,8827.6484375,8676.552
2025-05-16,8851.44140625,8734.925
2025-05-19,9041.794921875,8791.606
2025-05-20,9018.001953125,8872.021
2025-05-21,9232.1494140625,8945.026
2025-05-22,9184.5615234375,9040.479
2025-05-23,9208.35546875,9120.748
2025-05-26,9160.7666015625,9183.615
2025-05-27,8994.2080078125,9217.813
2025-05-28,8946.619140625,9201.347
2025-06-02,8661.087890625,9154.159
2025-06-03,8613.5009765625,9048.017
2025-06-04,8542.1171875,8923.081
2025-06-05,8494.529296875,8797.799
2025-06-10,8661.087890625,8685.992
2025-06-11,8613.5009765625,8631.319
2025-06-12,8684.8828125,8606.254
2025-06-13,8589.7060546875,8614.166
2025-06-16,8494.529296875,8620.324
2025-06-17,8637.294921875,8608.099
2025-06-18,8470.734375,8615.648
2025-06-19,8351.763671875,8601.333
2025-06-20,8280.380859375,8557.618
2025-06-23,8208.9990234375,8494.38
2025-06-24,8351.763671875,8419.735
2025-06-25,8185.20458984375,8378.671
2025-06-26,8232.79296875,8330.918
2025-06-30,8256.5869140625,8297.391
2025-07-01,8280.380859375,8281.257
2025-07-02,8256.5869140625,8281.075
2025-07-03,8185.20458984375,8284.643
2025-07-04,8232.79296875,8276.635
2025-07-07,8208.9990234375,8273.221
2025-07-08,8090.02734375,8268.269
