Tanggal,Harga_Aktual,Prediksi_MLR
2024-11-12,9325.560546875,9208.047007116125
2024-11-13,9325.560546875,9309.456994513817
2024-11-14,9279.6240234375,9341.12145057505
2024-11-15,9348.53125,9281.316941009885
2024-11-18,9187.74609375,9357.597963114466
2024-11-19,9118.8369140625,9209.042489108258
2024-11-20,9256.6533203125,9145.935489046635
2024-11-21,9095.0673828125,9263.402128069676
2024-11-22,9095.0673828125,9111.389323073316
2024-11-25,9395.158203125,9110.366423076943
2024-11-26,9233.5703125,9365.474822474414
2024-11-28,9233.5703125,9250.76155801583
2024-11-29,9233.5703125,9235.817730127772
2024-12-02,9002.73046875,9247.093088886475
2024-12-03,9418.2412109375,9033.389324645595
2024-12-04,9418.2412109375,9367.506610971563
2024-12-05,9464.41015625,9393.873868831965
2024-12-06,9302.822265625,9488.122052922965
2024-12-09,9556.744140625,9319.408190386173
2024-12-10,9556.744140625,9504.146057970094
2024-12-11,9625.99609375,9542.956604418941
2024-12-12,9395.158203125,9598.88905142292
2024-12-13,9279.73828125,9421.732100191082
2024-12-16,9325.90625,9304.417269765509
2024-12-17,9141.234375,9322.169994589083
2024-12-18,9048.8984375,9175.79627057237
2024-12-19,8933.4794921875,9089.443009611776
2024-12-20,8910.3955078125,8920.40129817482
2024-12-23,9025.8154296875,8933.927336605208
2024-12-24,9002.73046875,9035.603866653677
2024-12-27,9048.8984375,9021.928782443505
2024-12-30,8933.4794921875,9032.75970259168
2025-01-02,9141.234375,8950.676117212202
2025-01-03,9095.0673828125,9106.532998136252
2025-01-06,8933.4794921875,9108.18896006226
2025-01-07,8794.9755859375,8942.8603831763
2025-01-08,8933.4794921875,8820.134843094598
2025-01-09,9095.0673828125,8928.404737348676
2025-01-10,8979.646484375,9081.635248322222
2025-01-13,8933.4794921875,9018.019301723452
2025-01-14,8794.9755859375,8946.312117721583
2025-01-15,9048.8984375,8833.306820047972
2025-01-16,9002.73046875,9013.691486953987
2025-01-17,9141.234375,9031.721829153339
2025-01-20,8887.3115234375,9092.16336248062
2025-01-21,8841.1435546875,8914.028115622
2025-01-22,8864.2275390625,8863.564053889208
2025-01-23,8864.2275390625,8873.439666371301
2025-01-24,8633.3876953125,8909.804400405035
2025-01-30,8448.716796875,8666.196721588276
2025-01-31,8725.724609375,8492.512790647423
2025-02-03,8633.3876953125,8709.016505419928
2025-02-04,8471.7998046875,8603.927587185739
2025-02-05,8425.6328125,8500.454148605895
2025-02-06,8264.044921875,8443.720282804068
2025-02-07,8633.3876953125,8259.559849665216
2025-02-10,8448.716796875,8542.622588874648
2025-02-11,8379.4658203125,8459.59516399786
2025-02-12,8448.716796875,8377.197514719028
2025-02-13,8310.2138671875,8430.543858907899
2025-02-14,8287.12890625,8335.560234240049
2025-02-17,8610.3037109375,8309.079083473986
2025-02-18,8587.2197265625,8565.125274587328
2025-02-19,8264.044921875,8637.55638440594
2025-02-20,8310.2138671875,8297.31845779324
2025-02-21,8310.2138671875,8316.6825832065
2025-02-24,8240.9619140625,8306.021685056512
2025-02-25,8148.6259765625,8247.415776098835
2025-02-26,8102.45751953125,8184.977120357238
2025-02-27,7871.6181640625,8121.7191132767975
2025-02-28,7779.283203125,7895.861525879495
2025-03-03,8125.5419921875,7846.536526648677
2025-03-04,8171.71044921875,8119.530115103901
2025-03-05,8310.2138671875,8134.665531268858
2025-03-06,8287.12890625,8337.254132700858
2025-03-07,8240.9619140625,8307.255975956981
2025-03-10,8240.9619140625,8253.745024421678
2025-03-11,8240.9619140625,8227.00246011237
2025-03-12,8425.6328125,8259.295088329913
2025-03-13,8287.12890625,8403.311564370968
2025-03-14,8079.3740234375,8309.355232047292
2025-03-17,7940.8701171875,8121.1373587671915
2025-03-18,7663.86279296875,7952.324743238025
2025-03-19,7686.94677734375,7650.570345661789
2025-03-20,7733.115234375,7697.23234256974
2025-03-21,7518.966796875,7750.214586464506
2025-03-24,7566.5556640625,7573.779103519337
2025-03-25,7661.732421875,7545.421422355089
2025-03-26,8113.82177734375,7677.703564693368
2025-03-27,8090.02734375,8125.983821717066
2025-04-08,7399.99560546875,8091.144236244362
2025-04-09,7542.76123046875,7400.559288184219
2025-04-10,7828.29150390625,7518.584935538452
2025-04-11,7875.8798828125,7871.9342120226065
2025-04-14,7994.85107421875,7833.116142056875
2025-04-15,8161.41064453125,7980.415261657229
2025-04-16,8066.2333984375,8133.837532749119
2025-04-17,8090.02734375,8070.525076546543
2025-04-21,7899.673828125,8057.400156865627
2025-04-22,8090.02734375,7913.811931090478
2025-04-23,8304.17578125,8068.814303918488
2025-04-24,8066.2333984375,8286.356014908328
2025-04-25,8185.20458984375,8097.62570967963
2025-04-28,8351.763671875,8186.102423796758
2025-04-29,8304.17578125,8322.03740119017
2025-04-30,8399.3525390625,8311.797036283875
2025-05-02,8542.1171875,8392.254837510249
2025-05-05,8542.1171875,8510.634413391002
2025-05-06,8589.7060546875,8564.285067998648
2025-05-07,8637.294921875,8579.774633327812
2025-05-08,8542.1171875,8626.064864690568
2025-05-09,8565.912109375,8568.148871283196
2025-05-14,8827.6484375,8565.476405320092
2025-05-15,8827.6484375,8810.659718485735
2025-05-16,8851.44140625,8858.175937199994
2025-05-19,9041.794921875,8838.661764829289
2025-05-20,9018.001953125,9008.6383963451
2025-05-21,9232.1494140625,9075.029944205224
2025-05-22,9184.5615234375,9203.79587341045
2025-05-23,9208.35546875,9201.990806582016
2025-05-26,9160.7666015625,9202.544087480976
2025-05-27,8994.2080078125,9134.468739628119
2025-05-28,8946.619140625,9019.857217657034
2025-06-02,8661.087890625,8995.537266199659
2025-06-03,8613.5009765625,8693.024913733003
2025-06-04,8542.1171875,8609.823760947955
2025-06-05,8494.529296875,8554.905947283161
2025-06-10,8661.087890625,8511.07010098634
2025-06-11,8613.5009765625,8641.411899495917
2025-06-12,8684.8828125,8628.154431661045
2025-06-13,8589.7060546875,8669.96027028991
2025-06-16,8494.529296875,8590.798288621387
2025-06-17,8637.294921875,8509.833588729616
2025-06-18,8470.734375,8633.38877242796
2025-06-19,8351.763671875,8499.533890987354
2025-06-20,8280.380859375,8363.244453872823
2025-06-23,8208.9990234375,8339.095042946956
2025-06-24,8351.763671875,8201.993861552266
2025-06-25,8185.20458984375,8364.15482091023
2025-06-26,8232.79296875,8171.6981121823865
2025-06-30,8256.5869140625,8225.634491200246
2025-07-01,8280.380859375,8285.002012031044
2025-07-02,8256.5869140625,8263.306299605574
2025-07-03,8185.20458984375,8248.690882648869
2025-07-04,8232.79296875,8207.136289548838
2025-07-07,8208.9990234375,8215.4364113739
2025-07-08,8090.02734375,8195.331439770487
2025-07-09,8090.02734375,8100.3860049518025
2025-07-10,8185.20458984375,8095.006726065239
2025-07-11,8208.9990234375,8188.210376503985
2025-07-14,8113.82177734375,8227.072922654737
2025-07-15,8137.6162109375,8112.778805391126
2025-07-16,8113.82177734375,8123.172705254216
2025-07-17,8113.82177734375,8128.731224956748
2025-07-18,8018.6455078125,8125.5421103011595
2025-07-21,8042.43994140625,8039.10429196887
2025-07-22,7994.85107421875,8038.922332154315
2025-07-23,8018.6455078125,8011.993090446487
2025-07-24,8090.02734375,8031.002628542917
2025-07-25,8042.43994140625,8103.8604995590795
2025-07-28,8090.02734375,8057.65085090745
2025-07-29,7994.85107421875,8098.132665579471
2025-07-30,7971.05712890625,8002.454192632203
2025-07-31,7875.8798828125,7969.452206879622
2025-08-01,7899.673828125,7898.122359601313
2025-08-04,7875.8798828125,7919.744526053692
2025-08-05,8018.6455078125,7890.245806499778
2025-08-06,7899.673828125,8012.019334865764
2025-08-07,7899.673828125,7912.262935060861
2025-08-08,7899.673828125,7912.459572901308
2025-08-11,8137.6162109375,7926.035934144768
2025-08-12,8423.1474609375,8118.0128792335245
2025-08-13,8494.529296875,8393.181255324616
2025-08-14,8351.763671875,8441.885406725662
2025-08-15,8280.380859375,8368.614803956487
2025-08-19,8090.02734375,8299.52611516655
2025-08-20,8113.82177734375,8091.352850533475
2025-08-21,8137.6162109375,8119.118865165796
2025-08-22,8042.43994140625,8134.5353107019
2025-08-25,8066.2333984375,8055.932236274281
2025-08-26,7852.08544921875,8081.958583783642
2025-08-27,7899.673828125,7900.0116455970965
2025-08-28,7923.46826171875,7898.333271424782
2025-08-29,7685.5263671875,7922.714437495536
2025-09-01,7614.1435546875,7723.629598446463
2025-09-02,7614.1435546875,7594.496581802169
2025-09-03,7590.349609375,7670.514469116197
2025-09-04,7614.1435546875,7606.687061055111
2025-09-08,7328.61328125,7605.097094685916
2025-09-09,7162.05419921875,7375.89501919477
2025-09-10,7423.7900390625,7232.222131649133
2025-09-11,7471.37890625,7409.5052840287935
2025-09-12,7542.76123046875,7515.471628946137
2025-09-15,7637.93798828125,7536.458453110729
2025-09-16,7542.76123046875,7658.0458182280545
2025-09-17,7471.37890625,7559.714681364658
2025-09-18,7328.61328125,7485.538637879069
2025-09-19,7423.7900390625,7358.0725315531245
2025-09-22,7352.40771484375,7421.7521030315265
2025-09-23,7495.1728515625,7372.418870742773
2025-09-24,7399.99560546875,7492.596078474281
2025-09-25,7328.61328125,7406.992282071258
2025-09-26,7257.23095703125,7357.605932922992
2025-09-29,7399.99560546875,7280.054015222624
2025-09-30,7257.23095703125,7397.9239445379335
2025-10-01,7138.259765625,7296.131289831259
2025-10-02,7138.259765625,7181.394111228276
2025-10-03,7162.05419921875,7175.40545414556
2025-10-06,7138.259765625,7168.919159953926
2025-10-07,7209.64208984375,7144.774787575823
2025-10-08,7019.28857421875,7203.5337715671985
2025-10-09,7185.8486328125,7049.0052576057815
2025-10-10,7043.0830078125,7196.110725398893
2025-10-13,6971.70068359375,7040.914667224955
2025-10-14,6900.31787109375,6991.260299446717
2025-10-15,6900.31787109375,6935.527507528776
2025-10-16,6947.90625,6929.610189775866
2025-10-17,7138.259765625,6951.064004683354
2025-10-20,7495.1728515625,7120.442194664567
2025-10-21,8066.2333984375,7509.5123534699205
2025-10-22,7804.4970703125,8059.031683066421
2025-10-23,7923.46826171875,7865.763818378075
2025-10-24,7875.8798828125,7911.705113206505
2025-10-27,7947.2626953125,7908.65880749746
2025-10-28,7875.8798828125,7936.619654837524
2025-10-29,8185.20458984375,7901.155138045617
2025-10-30,8113.82177734375,8152.911898833123
2025-10-31,8113.82177734375,8164.901951837311
2025-11-03,8232.79296875,8156.3300505494435
2025-11-04,8232.79296875,8202.717954556982
2025-11-05,8280.380859375,8252.288933334257
2025-11-06,8137.6162109375,8273.566006597175
2025-11-07,8256.5869140625,8162.4281282523225
2025-11-10,8161.41064453125,8245.271520964809
2025-11-11,7994.85107421875,8175.129327325449
2025-11-12,8090.02734375,8022.357023682096
2025-11-13,7971.05712890625,8090.495780728153
2025-11-14,8018.6455078125,8000.895719661995
2025-11-17,8161.41064453125,8037.857255806471
2025-11-18,7994.85107421875,8155.032386136295
2025-11-19,8066.2333984375,8020.1919634047845
2025-11-20,8018.6455078125,8055.826775842914
2025-11-21,7994.85107421875,8053.971874832214
2025-11-24,8066.2333984375,7999.791512838351
2025-11-25,8090.02734375,8066.09362916982
2025-11-26,8018.6455078125,8062.983581998504
2025-11-27,7923.46826171875,8020.9283432222755
2025-11-28,7875.8798828125,7942.0319594042
2025-12-01,7994.85107421875,7892.069051141587
2025-12-02,7971.05712890625,7989.029357642066
2025-12-03,7951.8955078125,7989.521384267102
2025-12-04,7880.04150390625,7977.23931901587
2025-12-05,7951.8955078125,7898.731662280817
2025-12-08,7951.8955078125,7944.33913354716
2025-12-09,7760.28369140625,7944.560320609365
2025-12-10,7736.33251953125,7781.693851380234
2025-12-11,7664.47802734375,7752.957780056609
2025-12-12,7664.47802734375,7658.547852286519
2025-12-15,7951.8955078125,7642.593272354991
2025-12-16,7736.33251953125,7906.25992415686
2025-12-17,7688.42919921875,7745.469557127426
2025-12-18,7832.13818359375,7708.938601967579
2025-12-19,7712.380859375,7834.968048162876
2025-12-22,7832.13818359375,7739.127218115757
2025-12-23,7688.42919921875,7811.999894248554
2025-12-24,7688.42919921875,7690.1957980523985
2025-12-29,7688.42919921875,7700.007141508455
2025-12-30,7736.33251953125,7672.150566052445
2026-01-02,7688.42919921875,7750.26348299543
2026-01-05,7736.33251953125,7690.609255170611
2026-01-06,7832.13818359375,7738.843155996999
2026-01-07,7808.18701171875,7808.989656516769
2026-01-08,7712.380859375,7786.111982884338
2026-01-09,7784.2353515625,7735.535956590401
2026-01-12,7688.42919921875,7779.2146990981855
2026-01-13,7736.33251953125,7697.625845199365
2026-01-14,7664.47802734375,7729.371587342942
2026-01-15,7736.33251953125,7666.2234085177215
2026-01-19,7784.2353515625,7754.703664249805
2026-01-20,7664.47802734375,7760.242294507532
2026-01-21,7377.06005859375,7693.5489699652535
2026-01-22,7329.15673828125,7423.949959318218
2026-01-23,7329.15673828125,7359.349658593543
2026-01-26,7329.15673828125,7331.434119649867
2026-01-27,7185.44775390625,7332.898043720658
2026-01-28,6730.36962890625,7227.703475279114
2026-01-29,6898.0302734375,6879.016560318551
2026-01-30,7089.64208984375,6868.224421372646
2026-02-02,7281.25390625,7156.094787790162
2026-02-03,7329.15673828125,7220.3207247359505
2026-02-04,7472.86572265625,7265.415375379241
2026-02-05,7472.86572265625,7457.692262179804
2026-02-06,7353.1083984375,7517.071088168745
2026-02-09,7185.44775390625,7364.542512571134
2026-02-10,7161.49658203125,7206.1195655719575
2026-02-11,7137.544921875,7180.000659482255
2026-02-12,7017.78759765625,7155.843067935479
2026-02-13,6898.0302734375,7045.737764687133
